text,label
 1. +5 colors/patterns,1
    MOTOROLA MOTO G POWER 5G | 2023 | UNLOCKED | MADE FOR US 4/128GB | 50,1
    MPCAMERA | MINERAL BLACK    4.2 out of 5 stars,1
"    1,601",1
    1K+ bought in past month,1
    $199.99$199.99,1
    List: $299.99$299.99 2. +3 colors/patterns,1
    MOTO G PLAY 2023 3-DAY BATTERY UNLOCKED MADE FOR US 3/32GB 16MP CAMERA NAVY,1
    BLUE    4.1 out of 5 stars,1
"    2,470",1
    2K+ bought in past month,1
    $99.99$99.99,1
    List: $169.99$169.99 3. +5 colors/patterns,1
    MOTOROLA EDGE | 2023 | UNLOCKED | MADE FOR US 8/256GB | 50MP CAMERA |,1
    ECLIPSE BLACK    4.2 out of 5 stars,1
"    1,285",1
    500+ bought in past month,1
    $599.99$599.99 4. +7 colors/patterns,1
"    I23 ULTRA UNLOCKED CELL PHONE,BUILT IN PEN,SMARTPHONE BATTERY 6800MAH 6.8""",1
"    HD SCREEN UNLOCKED PHONES,6+256GB ANDROID13 WITH 128G MEMORY CARD,FACE",1
    ID/FINGERPRINT LOCK/GPS (PURPLE)    4.3 out of 5 stars,1
    10,1
    $189.99$189.99More results,1
"SAMSUNG GALAXY S23 FE AI PHONE, 128GB UNLOCKED ANDROID SMARTPHONE, LONG BATTERY",1
"LIFE, PREMIUM PROCESSOR, TOUGH GORILLA GLASS DISPLAY, HI-RES 50MP CAMERA, US",1
"VERSION, 2023, GRAPHITEOptions:",1
2 sizes2 sizes,1
4.4 out of 5 stars,1
760,1
500+ bought in past month,1
$499.99$499.99,1
"List: $599.99$599.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
1 sustainability featureSustainability features,1
This product has sustainability features recognized by trusted certifications.,1
Energy efficiency,1
Conserves energy compared to similar products.,1
As certified by,1
EPEAT,1
Learn more about EPEATEPEAT--------------------------------------------------------------------------------EPEAT addresses the sustainability impacts of electronic products. An EPEAT,1
registered product must meet required criteria and can meet optional criteria.,1
"The criteria depend on the type of product and can include energy efficiency,",1
"reduction of fluorinated greenhouse gases (F-Gases), and end of life management.",1
Products meeting 50% - 75% optional criteria are “Silver” and those meeting more,1
than 75% are “Gold”.--------------------------------------------------------------------------------Certification Level,1
GOLD,1
Part of,1
Climate Pledge Friendly,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$390.25(8 used & new offers),1
"SAMSUNG GALAXY A15 (SM-155M/DSN), 128GB 6GB RAM, DUAL SIM, FACTORY UNLOCKED GSM,",1
INTERNATIONAL VERSION (WALL CHARGER BUNDLE) (YELLOW)4.1 out of 5 stars,1
35,1
1K+ bought in past month,1
$132.68$132.68,1
"Typical: $150.46$150.46Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
"Best Sellerin Landline PhonesAT&T BL102-2 DECT 6.0 2-HANDSET CORDLESS PHONE FOR HOME WITH ANSWERING MACHINE,",1
"CALL BLOCKING, CALLER ID ANNOUNCER, AUDIO ASSIST, INTERCOM, AND UNSURPASSED",1
"RANGE, SILVER/BLACK4.3 out of 5 stars",1
"25,811",1
3K+ bought in past month,1
$50.88$50.88,1
"List: $56.95$56.95Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$19.97(17 used & new offers)MOTOROLA EDGE | 2022 | 2-DAY BATTERY | UNLOCKED | MADE FOR US 6/128GB | 50MP,1
CAMERA | MINERAL GRAY4.2 out of 5 stars,1
"1,285",1
2K+ bought in past month,1
$129.99$129.99,1
"Typical: $194.00$194.00Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$124.79(22 used & new offers),1
"TRACFONE MOTOROLA MOTO G PLAY, 32GB, BLACK - PREPAID SMARTPHONE (LOCKED)4.1 out of 5 stars",1
100,1
1K+ bought in past month,1
$39.88$39.88,1
"List: $49.99$49.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
"RemoveTCL 30 Z, 32GB, BLACK - PREPAID SMARTPHONE (LOCKED)4.8 out of 5 stars",1
12,1
300+ bought in past month,1
"$39.99$39.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
"RemovePANASONIC CORDLESS PHONE WITH ANSWERING MACHINE, ADVANCED CALL BLOCK, BILINGUAL",1
"CALLER ID AND EASY TO READ HIGH-CONTRAST DISPLAY, EXPANDABLE SYSTEM WITH 3",1
HANDSETS - KX-TGD833M (METALLIC BLACK)4.4 out of 5 stars,1
"2,695",1
2K+ bought in past month,1
$79.99$79.99$55.21 delivery,1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$37.79(13 used & new offers)BLU G73 | 2023 | 3-DAY BATTERY | UNLOCKED | 6.8” HD+ INFINITY DISPLAY | 128/6GB,1
| TRIPLE 50MP CAMERA | US VERSION | US WARRANTY | GREY4.0 out of 5 stars,1
37,1
500+ bought in past month,1
$99.99$99.99,1
"List: $149.99$149.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
RemoveSponsoredSponsored,1
You’re seeing this ad based on the product’s relevance to your search query.,1
Leave ad feedback,1
"GOOGLE PIXEL 8 - UNLOCKED ANDROID SMARTPHONE WITH ADVANCED PIXEL CAMERA, 24-HOUR",1
"BATTERY, AND POWERFUL SECURITY - HAZEL - 128 GBOptions:",1
2 sizes2 sizes,1
4.3 out of 5 stars,1
974,1
500+ bought in past month,1
"$699.00$699.00Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
+2 colors/patternsGOOGLE PIXEL 7A - UNLOCKED ANDROID CELL PHONE - SMARTPHONE WITH WIDE ANGLE LENS,1
AND 24-HOUR BATTERY - 128 GB – CHARCOAL4.3 out of 5 stars,1
"1,948",1
2K+ bought in past month,1
$429.00$429.00,1
"List: $499.00$499.00Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$330.35(15 used & new offers),1
MOTOROLA ONE ACE | 2021 | 2-DAY BATTERY | UNLOCKED | MADE FOR US 4/64GB | 48MP,1
CAMERA | VOLCANIC GRAY3.8 out of 5 stars,1
54,1
400+ bought in past month,1
$88.94$88.94,1
"Typical: $97.99$97.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$85.53(14 used & new offers),1
"SAMSUNG GALAXY S24 ULTRA CELL PHONE, 512GB AI SMARTPHONE, UNLOCKED ANDROID, 50MP",1
"ZOOM CAMERA, LONG BATTERY LIFE, S PEN, US VERSION, 2024, TITANIUM YELLOWOptions:",1
3 sizes3 sizes,1
4.4 out of 5 stars,1
"1,038",1
300+ bought in past month,1
Click to see price,1
"Delivery Tue, May 21",1
Ships to Sri Lanka,1
1 sustainability featureSustainability features,1
This product has sustainability features recognized by trusted certifications.,1
Energy efficiency,1
Conserves energy compared to similar products.,1
As certified by,1
EPEAT,1
Learn more about EPEATEPEAT--------------------------------------------------------------------------------EPEAT addresses the sustainability impacts of electronic products. An EPEAT,1
registered product must meet required criteria and can meet optional criteria.,1
"The criteria depend on the type of product and can include energy efficiency,",1
"reduction of fluorinated greenhouse gases (F-Gases), and end of life management.",1
Products meeting 50% - 75% optional criteria are “Silver” and those meeting more,1
than 75% are “Gold”.--------------------------------------------------------------------------------Certification Level,1
GOLD,1
Part of,1
Climate Pledge Friendly,1
Add to cart,1
-,1
Remove,1
+2MOTOROLA MOTO G STYLUS | 2023 | UNLOCKED | MADE FOR US 4/64GB | 50 MP CAMERA |,1
"MIDNIGHT BLUE, 162.89 X 74.08 X 9.19MM4.1 out of 5 stars",1
"2,470",1
1K+ bought in past month,1
$149.99$149.99,1
List: $199.99$199.99$45.09 delivery,1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$102.71(22 used & new offers),1
SponsoredSponsored,1
You’re seeing this ad based on the product’s relevance to your search query.,1
Leave ad feedback,1
"UMIDIGI POWER 7 CELL PHONE, 4GB+128GB 6150MAH BATTERY UNLOCKED SMARTPHONE WITH",1
"6.7"" FULL SCREEN + 20MP AI TRIPLE CAMERA ANDROID SMARTPHONEOptions:",1
3 sizes3 sizes,1
3.8 out of 5 stars,1
135,1
"$99.99$99.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
+2 colors/patternsVTECH CS6529-4B 4-HANDSET DECT 6.0 CORDLESS PHONE WITH ANSWERING SYSTEM AND,1
"CALLER ID, EXPANDABLE UP TO 5 HANDSETS, WALL-MOUNTABLE, BLUE/GREEN/RED/SILVER4.2 out of 5 stars",1
"6,624",1
1K+ bought in past month,1
$89.95$89.95,1
"List: $98.95$98.95Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
Remove,1
More Buying Choices,1
$36.60(15 used & new offers),1
SponsoredSponsored,1
You’re seeing this ad based on the product’s relevance to your search query.,1
Leave ad feedback,1
AAA BATTERY 8PCS 1.2V 550MAH RECHARGEABLE NI-MH HHR-55AAABU COMPATIBLE WITH,1
PANASONIC CORDLESS WIRELESS PHONE TELEPHONE HANDSET DECT 6.04.5 out of 5 stars,1
589,1
50+ bought in past month,1
"$12.99$12.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
RemoveSponsoredSponsored,1
You’re seeing this ad based on the product’s relevance to your search query.,1
Leave ad feedback,1
"BLUETOOTH HEADSET, BLUETOOTH HEADPHONES WITH MICROPHONE MUTE, 65HRS WORKING TIME",1
& BLUETOOTH 5.3 MULTIPOINT CONNECT WIRELESS HEADSET WITH MIC FOR WORK/CALL,1
CENTER/CELL PHONE/COMPUTER/TEAMS/ZOOM$49.99$49.99$10.00 coupon applied at checkoutSave $10.00 with coupon,1
"Delivery Tue, May 21",1
Ships to Sri Lanka,1
Add to cart,1
-,1
RemoveSponsoredSponsored,1
You’re seeing this ad based on the product’s relevance to your search query.,1
Leave ad feedback,1
"YEALINK BH71 BLUETOOTH HEADSET, WIRELESS BLUETOOTH EARPIECE WITH NOISE CANCELING",1
"MICROPHONE, HANDS FREE, MUTE FUNCTION,CONNECT TO MOBILE PHONE/TABLET, MONO",1
HEADSET FOR OFFICE DRIVING3.9 out of 5 stars,1
93,1
200+ bought in past month,1
"$79.99$79.99Delivery Tue, May 21",1
Ships to Sri Lanka,1
Only 19 left in stock - order soon.,1
Add to cart,1
-,0
RemoveDebug info copied.,0
Group 5 Created with Sketch.Sponsored,0
"ONEPLUS 12R, 16GB RAM+256GB, DUAL-SIM, US FACTORY UNLOCKED ANDROID SMARTPHONE,",0
"5500 MAH BATTERY, 50MP CAMERA, 80W FAST CHARGING, 2024, COOL BLUE4.4 out of 5 stars",0
97,0
500+ bought in past month,0
$529.99$529.99,0
"List: $599.99$599.99Delivery Tue, May 21",0
Related searches,0
phones for kids,0
phones on sale,0
iphone,0
phones for home,0
phones unlocked,0
phone samsung,0
Previous123...20Next--------------------------------------------------------------------------------Brands related to your search,0
SponsoredGalaxy A35 - awesome made easy!Galaxy A35 - awesome made easy!,0
Powerful. Affordable. AI-full.Powerful. Affordable. AI-full.,0
Welcome to the new way to buy wireless.Welcome to the new way to buy wireless.,0
Need help?,0
Visit the help section or contact us,0
Go back to filtering menu,0
Skip to main search resultsMore-sustainable ProductsClimate Pledge FriendlyDepartment,0
Cell Phones Telephones Landline Phones Cell Phone Cases & Covers Cell Phone,0
Basic Cases Cell Phone Accessories ElectronicsCustomer Reviews,0
4 Stars & Up & Up,0
3 Stars & Up & Up,0
2 Stars & Up & Up,0
1 Star & Up & UpBrandsMotorolaTracFoneGoogleAppleAT&TPanasonicBLUTotal By VerizonOnePlusUMIDIGINUUDOOGEEBAOWUNokiaXiaomiKURSARKEEBlackviewFadnouHunessUlefoneJLEfuxinyaweBoostF2FTlkESRLISENGINDONGINothingTemdanMiracaseJectseKroger WirelessYZOKSee moreAll Top BrandsTop BrandsCell Phone Price,0
"$0 – $4,100+",0
Go,0
Deals & Discounts,0
All Discounts Today's DealsCondition,0
New Renewed UsedCellular Phone Operating SystemAndroidiOSLinuxNucleus OSCellular Phone Operating System VersionAndroid 10.0Android 11.0Android 12.0Android 13.0Android 9.0iOS 14iOS 16Android 4.3Android 4.4Android 6.0Android 8.0Android 8.1iOS 15KaiOSSee moreCellular Phone Memory Storage CapacityUp to 3.9 GB4 GB8 GB16 GB32 GB64 GB128 GB256 GB512 GB & aboveItem WeightUp to 4.9 oz5 to 6.9 oz7 to 8.9 oz9 oz & aboveCell Phone CarrierAT&T WirelessSimple MobileSprintT-MobileTotal WirelessTracFone WirelessUnlockedVerizon WirelessElectronics Device Model Year2024202320222021202020192018201720162015See morePhone Color,0
"Cell Phone Display SizeUp to 3.9 in4 to 4.4 in4.5 to 4.9 in5 to 5.4 in5.5 in & aboveCell Phone Aspect Ratio16:1016:94:3Form FactorBarFoldable CaseFoldable ScreenSlateSliderBattery CapacityUp to 2,999 mAh3,000 to 3,999 mAh4,000 to 4,999 mAh5,000 to 5,999 mAh6,000 mAh & AboveSim Card SizeeSIMMicroNanoCell Phone Connectivity TechnologyBluetoothInfraredNFCUSBWi-FiCell Phone FeaturesCameraExpandable MemoryOcta Core ProcessorPush to TalkTouchscreenDual CameraSmartphoneDisplay TypeAMOLEDLCDOLEDIncluded ComponentsPhone CasePower AdapterSIM Tray EjectorUSB CableAudio AdapterHeadsetScreen ProtectorCell Phone Camera ResolutionUp to 2.9 MP3 to 4.9 MP5 to 7.9 MP8 to 12.9 MP13 to 19.9 MP20 MP & aboveCell Phone Shooting ModesAperture PriorityAutomaticCustomHigh Dynamic RangeMacroManualNight ModePanoramaPortraitProgramSceneSportsTime LapseUnderwaterSee moreFront Photo Sensor ResolutionUp to 6.9 MP7.0 to 9.9 MP10.0 to 12.9 MP13.0 MP & aboveGPSFalseTrueCellular Phone Biometric Security FeatureFace RecognitionFingerprint RecognitionVoice RecognitionRefresh RateUp to 88 Hz89 to 104 Hz105 to 120 Hz121 Hz & aboveCell Phone Human Interface InputButtonsDialOCRKeyboardKeypadMicrophoneMouseNumeric KeypadTouchscreenTouchscreen with Stylus SupportSee moreSIM Card Slot CountSingle SIMDual SIMCell Phone Connector Type3.5mm JackLightningMicro USBMini USBUSB Type CCell Phone Resolution1080 x 19201080 x 21601080 x 22801080 x 23401080 x 24001280 x 7201440 x 25601440 x 28801440 x 29601440 x 30401440 x 31201440 x 32001440 x 7201560 x 7201600 x 7201600x32001920 x 10802340 x 1080240 x 3202400 x 10802532 x 11702560 x 14403040 x 1440480 x 800720 x 1520720 x 1560720 x 1600See moreWater Resistance LevelNot Water ResistantWater-ResistantWaterproofBusiness TypeSmall BusinessVideo Capture Resolution1080p4k720p8kLens TypeMacroUltra WideUltra Wide AngleWide AngleCellular Phone Photo Sensor ResolutionUp to 9.9 MP10 to 12.9 MP13 to 15.9 MP16 MP & aboveCellular Phone Battery Average LifeUp to 6.9 h7 to 12.9 h13 to 18.9 h19 h & aboveCellular Phone Installed RAM SizeUp to 1.9 GB2 to 3.9 GB4 to 5.9 GB6 to 7.9 GB8 to 9.9 GB10 GB & aboveFrom Our BrandsAmazon BrandsPackaging OptionFrustration-Free PackagingSellerAmazon WarehouseAmazon.comJE Products USU-geekalwayz-on-saleMac N' CheeseCASETiFY®AvailabilityInclude Out of Stock",0
Your recently viewed items and featured recommendations,0
›,0
View or edit your browsing history,0
"After viewing product detail pages, look here to find an easy way to navigate",0
back to pages you are interested in.,0
Your recently viewed items and featured recommendations,0
›,0
View or edit your browsing history,0
"After viewing product detail pages, look here to find an easy way to navigate",0
back to pages you are interested in.Back to top,0
Get to Know Us,0
 * Careers,0
 * Blog,0
 * About Amazon,0
 * Investor Relations,0
 * Amazon Devices,0
 * Amazon Science,0
Make Money with Us,0
 * Sell products on Amazon,0
 * Sell on Amazon Business,0
 * Sell apps on Amazon,0
 * Become an Affiliate,0
 * Advertise Your Products,0
 * Self-Publish with Us,0
 * Host an Amazon Hub,0
 * ›See More Make Money with Us,0
Amazon Payment Products,0
 * Amazon Business Card,0
 * Shop with Points,0
 * Reload Your Balance,0
 * Amazon Currency Converter,0
Let Us Help You,0
 * Amazon and COVID-19,0
 * Your Account,0
 * Your Orders,0
 * Shipping Rates & Policies,0
 * Returns & Replacements,0
 * Manage Your Content and Devices,0
 * Amazon Assistant,0
 * HelpEnglish $USD - U.S. Dollar United StatesAmazon Music,0
Stream millions,0
of songs Amazon Ads,0
Reach customers,0
wherever they,0
spend their time 6pm,0
Score deals,0
on fashion brands AbeBooks,0
"Books, art",0
& collectibles ACX,0
Audiobook Publishing,0
Made Easy Sell on Amazon,0
Start a Selling Account Amazon Business,0
Everything For,0
Your Business   AmazonGlobal,0
Ship Orders,0
Internationally Home Services,0
Experienced Pros,0
Happiness Guarantee Amazon Web Services,0
Scalable Cloud,0
Computing Services Audible,0
Listen to Books & Original,0
Audio Performances Box Office Mojo,0
Find Movie,0
Box Office Data Goodreads,0
Book reviews,0
& recommendations IMDb,0
"Movies, TV",0
& Celebrities   IMDbPro,0
Get Info Entertainment,0
Professionals Need Kindle Direct Publishing,0
Indie Digital & Print Publishing,0
Made Easy Prime Video Direct,0
Video Distribution,0
Made Easy Shopbop,0
Designer,0
Fashion Brands Woot!,0
Deals and,0
Shenanigans Zappos,0
Shoes &,0
Clothing Ring,0
Smart Home,0
Security Systems     eero WiFi,0
Stream 4K Video,0
in Every Room Blink,0
Smart Security,0
for Every Home Neighbors App,0
Real-Time Crime,0
& Safety Alerts Amazon Subscription Boxes,0
Top subscription boxes – right to your door PillPack,0
Pharmacy Simplified * Conditions of Use,0
 * Privacy Notice,0
 * Consumer Health Data Privacy Disclosure,0
 * Your Ads Privacy Choices,0
" *© 1996-2024, Amazon.com, Inc. or its affiliates",0
